room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13866725,81983641,Private room,,Allston,0,,2,1.0,52.0,15.0,42.352027,-71.128816,2016-07-16 20:36:52.557517
13771034,80803695,Private room,,Allston,0,,1,1.0,45.0,5.0,42.352616,-71.129291,2016-07-16 20:36:31.101220
8644473,2346094,Private room,,Allston,2,,3,1.0,59.0,1.0,42.354429,-71.129278,2016-07-16 18:32:24.237974
10724635,55426664,Private room,,Allston,0,,1,1.0,27.0,1.0,42.352114,-71.129591,2016-07-16 20:20:58.713214
13879099,8793032,Private room,,Allston,0,,1,1.0,90.0,5.0,42.351726,-71.121045,2016-07-16 18:57:53.852221
8714682,15015493,Private room,,Allston,0,,1,1.0,60.0,1.0,42.353852,-71.122097,2016-07-16 19:53:40.890268
11528125,10138187,Private room,,Allston,1,,2,1.0,50.0,3.0,42.352684,-71.121248,2016-07-16 20:59:45.861799
13782612,41259192,Private room,,Allston,0,,2,1.0,52.0,1.0,42.352161,-71.129382,2016-07-16 19:53:04.560068
12873559,2051523,Private room,,Allston,1,,2,1.0,80.0,2.0,42.352567,-71.125398,2016-07-16 20:10:14.688801
13236880,1343234,Private room,,Allston,0,,1,1.0,90.0,2.0,42.357652,-71.128231,2016-07-16 20:39:47.211162
9533193,49381951,Private room,,Allston,0,,2,1.0,58.0,1.0,42.360408,-71.124386,2016-07-16 20:02:12.235932
5967594,26956083,Private room,,Allston,12,4.5,4,1.0,200.0,2.0,42.360189,-71.127182,2016-07-16 17:30:48.464092
7783953,32304279,Private room,,Allston,1,,1,1.0,128.0,7.0,42.359952,-71.128012,2016-07-16 18:04:13.792345
10987109,32304279,Private room,,Allston,0,,1,1.0,108.0,7.0,42.359068,-71.127824,2016-07-16 19:28:16.545519
13515084,19548932,Private room,,Allston,3,5.0,2,1.0,75.0,1.0,42.357206,-71.128717,2016-07-16 19:06:19.021343
7462268,19548932,Private room,,Allston,28,5.0,2,1.0,70.0,1.0,42.358198,-71.129016,2016-07-16 19:11:39.442037
13345701,19548932,Private room,,Allston,9,4.0,2,1.0,75.0,1.0,42.357452,-71.128559,2016-07-16 22:51:05.948227
7527677,32304279,Private room,,Allston,2,,1,1.0,98.0,7.0,42.358993,-71.128838,2016-07-16 17:42:23.594739
12409042,26956083,Private room,,Allston,5,5.0,2,1.0,99.0,1.0,42.359421,-71.127332,2016-07-16 19:17:58.843272
12148811,24036388,Private room,,Allston,5,5.0,1,1.0,50.0,2.0,42.359629,-71.129313,2016-07-16 20:20:55.665842
6227976,32304279,Private room,,Allston,1,,1,1.0,63.0,7.0,42.360175,-71.129104,2016-07-16 21:25:49.187304
12176027,46984941,Private room,,Allston,2,,2,1.0,45.0,7.0,42.359916,-71.124831,2016-07-16 19:46:53.747351
13714817,32532791,Private room,,Fenway,0,,2,1.0,175.0,,42.350694,-71.097012,2016-07-16 20:16:07.117744
13114020,47283683,Private room,,Fenway,1,,2,1.0,99.0,1.0,42.350216,-71.094379,2016-07-16 21:45:47.032849
13715098,32532791,Private room,,Fenway,0,,2,1.0,175.0,,42.351049,-71.096166,2016-07-16 19:40:42.439966
