room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1042420,5715872,Entire home/apt,,East Boston,51,4.5,3,2.0,112.0,2.0,42.383625,-71.020232,2016-08-19 11:37:08.095253
11662695,8139434,Entire home/apt,,Allston,34,5.0,4,1.0,147.0,1.0,42.349832,-71.141845,2016-08-19 11:37:03.557226
6602217,24584716,Entire home/apt,,Jamaica Plain,65,4.5,5,1.0,130.0,2.0,42.323096,-71.108514,2016-08-19 11:36:44.097537
11061030,50072079,Entire home/apt,,Downtown,2,,4,1.0,240.0,1.0,42.358716,-71.053712,2016-08-19 11:36:23.220678
13577929,78345234,Private room,,Brighton,0,,1,1.0,200.0,1.0,42.345192,-71.140531,2016-08-19 11:36:17.177796
14110186,42932254,Private room,,Mission Hill,0,,2,1.0,100.0,1.0,42.33087,-71.104366,2016-08-19 11:36:10.843575
1141522,1407005,Private room,,East Boston,232,4.5,2,1.0,95.0,1.0,42.37752,-71.034181,2016-08-19 11:35:13.089270
9218312,47935411,Private room,,Roslindale,29,5.0,2,1.0,95.0,2.0,42.289071,-71.128233,2016-08-19 11:06:07.892966
7988755,8408214,Private room,,South Boston,66,4.5,3,1.0,109.0,2.0,42.328534,-71.053859,2016-08-19 11:06:03.168883
12492474,67637928,Private room,,Mattapan,2,,1,1.0,45.0,14.0,42.273989,-71.070835,2016-08-19 11:05:52.872836
414419,2027295,Entire home/apt,,Back Bay,311,4.5,4,1.0,175.0,2.0,42.35387,-71.079723,2016-08-19 11:05:47.276539
5215982,26985683,Entire home/apt,,Downtown,20,4.5,2,1.0,285.0,2.0,42.356184,-71.06196,2016-08-19 11:05:07.453623
14057466,30314324,Entire home/apt,,Jamaica Plain,1,,4,2.0,150.0,5.0,42.313572,-71.113819,2016-08-19 11:05:03.386134
3601424,18145041,Private room,,Brighton,92,5.0,2,1.0,75.0,1.0,42.352881,-71.158183,2016-08-19 11:05:00.068031
13110084,72882793,Entire home/apt,,Jamaica Plain,9,4.5,6,2.0,220.0,2.0,42.30595,-71.104893,2016-08-19 11:04:24.337494
13642024,51849764,Private room,,South Boston,1,,2,1.0,150.0,1.0,42.332143,-71.040489,2016-08-19 11:04:12.291022
6796364,21805943,Private room,,South Boston,1,,2,1.0,139.0,1.0,42.337115,-71.050129,2016-08-19 11:03:42.011020
12897110,70633440,Entire home/apt,,Back Bay,8,4.5,4,1.0,176.0,4.0,42.344486,-71.080763,2016-08-19 11:03:39.755688
4181163,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,279.0,3.0,42.343458,-71.100635,2016-08-19 11:03:27.288345
8065282,16284736,Entire home/apt,,East Boston,64,5.0,4,2.0,181.0,1.0,42.374966,-71.03337,2016-08-19 11:03:19.709480
3278624,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,279.0,3.0,42.344066,-71.101743,2016-08-19 11:03:15.463825
11569331,2225350,Entire home/apt,,Dorchester,2,,4,3.0,120.0,1.0,42.290868,-71.060893,2016-08-19 11:03:07.154656
7514336,22348222,Entire home/apt,,Beacon Hill,1,,2,0.0,155.0,7.0,42.360874,-71.062994,2016-08-19 11:03:04.876324
3765014,16442921,Private room,,Dorchester,9,3.0,1,1.0,49.0,4.0,42.320018,-71.054957,2016-08-19 11:02:40.096376
13594886,5997103,Private room,,East Boston,19,5.0,2,1.0,103.0,1.0,42.368498,-71.033706,2016-08-19 11:02:23.209700
14414473,5654336,Entire home/apt,,Roxbury,1,,2,1.0,125.0,2.0,42.330006,-71.091939,2016-08-19 11:02:09.688959
13820571,81414368,Private room,,East Boston,18,5.0,1,1.0,65.0,1.0,42.366998,-71.035943,2016-08-19 11:02:03.944247
14111670,4020046,Entire home/apt,,Beacon Hill,0,,3,2.0,265.0,1.0,42.360928,-71.06532,2016-08-19 11:01:59.540026
9531326,1229497,Entire home/apt,,East Boston,0,,3,1.0,72.0,4.0,42.389828,-71.005192,2016-08-19 11:01:56.862672
9461126,49027294,Entire home/apt,,Brighton,0,,6,2.0,200.0,5.0,42.344014,-71.168946,2016-08-19 11:01:53.974333
10749312,55571157,Entire home/apt,,Jamaica Plain,3,5.0,5,3.0,199.0,7.0,42.315899,-71.107456,2016-08-19 11:01:45.569722
12383204,30283594,Entire home/apt,,Chinatown,1,,5,2.0,299.0,3.0,42.352417,-71.061619,2016-08-19 11:01:29.113125
3693850,18807469,Private room,,Jamaica Plain,178,5.0,2,1.0,88.0,2.0,42.299824,-71.112572,2016-08-19 11:01:07.331241
2481019,508268,Entire home/apt,,Downtown,13,4.5,4,1.0,229.0,3.0,42.364087,-71.059429,2016-08-19 11:00:31.663110
1426754,5578043,Entire home/apt,,North End,71,4.5,2,1.0,99.0,1.0,42.364824,-71.053707,2016-08-19 11:00:07.071264
12308927,66377071,Private room,,East Boston,19,5.0,1,1.0,44.0,1.0,42.366921,-71.038285,2016-08-19 10:59:59.902398
9137560,47588894,Private room,,Jamaica Plain,1,,2,1.0,80.0,1.0,42.307202,-71.119589,2016-08-19 10:59:33.938670
3309941,9419684,Entire home/apt,,Fenway,17,4.5,5,2.0,279.0,3.0,42.343299,-71.100163,2016-08-19 10:59:11.926941
5717690,1444340,Entire home/apt,,Roxbury,26,4.5,4,1.0,167.0,,42.340002,-71.081299,2016-08-19 10:59:05.512911
14472812,12243051,Entire home/apt,,Roxbury,0,,4,2.0,169.0,3.0,42.336847,-71.086831,2016-08-19 10:58:15.608022
7449448,38701026,Private room,,Dorchester,13,4.5,1,1.0,45.0,2.0,42.28664,-71.088039,2016-08-19 10:58:06.602550
2174476,5618949,Entire home/apt,,Fenway,62,4.5,4,0.0,189.0,,42.344057,-71.098065,2016-08-19 10:57:46.218489
12655247,13807120,Entire home/apt,,Brighton,0,,8,4.0,450.0,2.0,42.34153,-71.14195,2016-08-19 10:57:31.266870
2947662,9402135,Entire home/apt,,Beacon Hill,84,5.0,6,2.0,299.0,3.0,42.360007,-71.066611,2016-08-19 10:57:12.881294
