room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9570618,49546656,Private room,,Allston,40,5.0,3,1.0,120.0,1.0,42.359302,-71.134086,2016-10-18 23:09:49.403967
14572511,35742537,Entire home/apt,,North End,8,5.0,4,1.0,250.0,,42.363428,-71.055273,2016-10-18 23:09:37.767218
2998554,3462813,Entire home/apt,,Beacon Hill,19,4.5,6,2.0,135.0,4.0,42.361065,-71.066367,2016-10-18 23:09:31.013508
2931870,11631886,Private room,,Mattapan,53,4.5,3,1.0,79.0,1.0,42.279208,-71.095272,2016-10-18 23:09:02.042615
8166076,9073339,Entire home/apt,,East Boston,51,5.0,9,2.0,250.0,1.0,42.378298,-71.03398,2016-10-18 23:08:47.846882
9218288,21361004,Entire home/apt,,Downtown,0,,2,1.0,325.0,1.0,42.357581,-71.061585,2016-10-18 23:07:54.509608
7984949,42144668,Private room,,East Boston,11,5.0,2,1.0,99.0,1.0,42.369241,-71.041545,2016-10-18 23:07:17.996833
13466910,21184200,Entire home/apt,,Back Bay,6,5.0,8,2.0,350.0,1.0,42.348308,-71.082259,2016-10-18 23:07:14.332922
8801250,19280995,Private room,,Jamaica Plain,6,4.5,2,1.0,56.0,1.0,42.311618,-71.103853,2016-10-18 23:05:57.561868
5481243,28425476,Private room,,Charlestown,15,4.5,1,1.0,150.0,1.0,42.376495,-71.051725,2016-10-18 23:04:42.999253
1321422,6608084,Private room,,Dorchester,210,5.0,3,1.0,76.0,1.0,42.30838,-71.046943,2016-10-18 23:04:08.403583
14274311,52580942,Entire home/apt,,Fenway,13,5.0,2,1.0,150.0,2.0,42.342077,-71.084565,2016-10-18 23:03:57.261742
11826815,18807469,Private room,,Jamaica Plain,6,5.0,2,1.0,88.0,1.0,42.299563,-71.112839,2016-10-18 23:03:36.825360
3585343,10332798,Private room,,South Boston,53,4.5,2,1.0,110.0,2.0,42.340395,-71.053735,2016-10-18 23:03:34.340126
15167383,39949707,Private room,,Brighton,8,5.0,2,1.0,49.0,1.0,42.356343,-71.149548,2016-10-18 23:03:22.697159
10149314,30283594,Entire home/apt,,Fenway,2,,3,1.0,169.0,3.0,42.343622,-71.097971,2016-10-18 23:03:05.068089
14420920,4962900,Entire home/apt,,Chinatown,1,,7,3.0,119.0,2.0,42.350742,-71.062731,2016-10-18 23:02:50.354523
12630619,68586089,Entire home/apt,,Fenway,14,5.0,3,1.0,140.0,,42.350339,-71.101174,2016-10-18 23:02:43.582991
14742722,79365228,Private room,,Beacon Hill,3,5.0,1,1.0,150.0,1.0,42.357368,-71.065135,2016-10-18 23:00:50.417751
1113272,3676936,Entire home/apt,,Jamaica Plain,46,4.5,4,2.0,210.0,4.0,42.304843,-71.106271,2016-10-18 23:00:37.918767
12897110,70633440,Entire home/apt,,Back Bay,13,4.5,4,1.0,160.0,3.0,42.344486,-71.080763,2016-10-18 23:00:27.663874
8428052,33294128,Private room,,Beacon Hill,9,5.0,2,1.0,195.0,1.0,42.36066,-71.066726,2016-10-18 23:00:12.551075
5433246,28184185,Private room,,South End,4,5.0,2,1.0,100.0,1.0,42.338041,-71.075745,2016-10-18 23:00:07.402275
979759,25188,Entire home/apt,,West End,2,,4,2.0,310.0,7.0,42.366235,-71.067846,2016-10-18 22:59:03.208787
4275846,2356643,Entire home/apt,,Downtown,66,4.0,2,0.0,150.0,1.0,42.351227,-71.064081,2016-10-18 22:58:58.873662
8518665,12243051,Entire home/apt,,South End,3,4.5,4,1.0,169.0,3.0,42.346342,-71.063859,2016-10-18 22:58:34.770281
10117122,30283594,Entire home/apt,,Downtown,0,,5,2.0,199.0,3.0,42.351509,-71.063336,2016-10-18 22:58:06.602767
13697486,41999943,Private room,,Jamaica Plain,2,,2,1.0,50.0,1.0,42.292443,-71.117903,2016-10-18 22:57:46.920779
377474,119019,Entire home/apt,,Dorchester,19,4.5,10,5.0,495.0,2.0,42.29839,-71.059312,2016-10-18 22:57:42.225795
9834532,5610797,Entire home/apt,,Roxbury,0,,6,2.0,250.0,7.0,42.336461,-71.0827,2016-10-18 22:57:27.214377
15148487,3731207,Entire home/apt,,Beacon Hill,0,,4,2.0,295.0,3.0,42.357668,-71.070987,2016-10-18 22:56:47.116961
12593655,16186589,Private room,,Dorchester,0,,1,1.0,32.0,10.0,42.284454,-71.075208,2016-10-18 22:56:43.625272
14852676,5338762,Entire home/apt,,Dorchester,0,,5,3.0,185.0,1.0,42.315282,-71.055348,2016-10-18 22:56:28.050239
4765070,24584716,Entire home/apt,,Jamaica Plain,150,4.5,2,0.0,90.0,2.0,42.325089,-71.10723,2016-10-18 22:56:00.617739
14388343,19197342,Entire home/apt,,Beacon Hill,9,5.0,3,1.0,250.0,2.0,42.360201,-71.066578,2016-10-18 22:54:49.463631
8846849,16284736,Private room,,East Boston,4,4.0,2,1.0,70.0,1.0,42.374506,-71.032205,2016-10-18 22:54:35.616841
2021489,10197317,Private room,,South Boston,9,4.0,3,1.0,200.0,1.0,42.333231,-71.049327,2016-10-18 22:54:23.679040
2843445,3164508,Private room,,Roslindale,67,5.0,2,1.0,75.0,1.0,42.281946,-71.141022,2016-10-18 22:54:16.209636
22354,85770,Private room,,South End,220,4.5,1,1.0,135.0,1.0,42.344957,-71.074857,2016-10-18 22:53:54.811420
13912670,2074103,Entire home/apt,,Jamaica Plain,7,4.5,3,1.0,139.0,2.0,42.321725,-71.104155,2016-10-18 22:53:49.530989
11980767,5241671,Entire home/apt,,Back Bay,2,,4,0.0,160.0,3.0,42.351286,-71.088657,2016-10-18 22:52:54.139990
7513906,22348222,Entire home/apt,,West Roxbury,1,,2,0.0,137.0,7.0,42.280096,-71.160763,2016-10-18 22:52:47.710301
13374823,7198154,Private room,,Brighton,3,5.0,2,1.0,85.0,1.0,42.340147,-71.148001,2016-10-18 22:52:43.053907
15265633,95459395,Entire home/apt,,Fenway,0,,3,1.0,571.0,3.0,42.345211,-71.098223,2016-10-18 22:52:28.043019
6089865,3637081,Entire home/apt,,North End,134,5.0,2,1.0,125.0,1.0,42.366924,-71.056076,2016-10-18 22:52:19.913339
9390951,37344176,Private room,,East Boston,1,,2,1.0,125.0,2.0,42.36671,-71.037126,2016-10-18 22:52:13.744120
7472068,38188681,Entire home/apt,,Charlestown,35,4.5,8,2.0,299.0,1.0,42.378248,-71.061988,2016-10-18 22:51:37.219212
14176598,605252,Private room,,Roxbury,4,4.0,4,1.0,53.0,1.0,42.326236,-71.076167,2016-10-18 22:51:03.239318
13073078,26648875,Private room,,Fenway,6,5.0,2,1.0,60.0,2.0,42.341284,-71.085673,2016-10-18 22:50:52.358765
2183058,11132080,Entire home/apt,,North End,80,5.0,4,1.0,142.0,4.0,42.364293,-71.054521,2016-10-18 22:50:35.726125
14428517,3875741,Private room,,Roxbury,0,,2,1.0,75.0,2.0,42.325355,-71.081334,2016-10-18 22:50:14.659139
7054058,7198154,Entire home/apt,,Brighton,17,5.0,4,2.0,150.0,2.0,42.33717,-71.149654,2016-10-18 22:50:12.074594
4287366,22257404,Entire home/apt,,South Boston,7,4.0,3,2.0,200.0,1.0,42.331476,-71.048888,2016-10-18 22:50:05.934676
13778731,12192889,Entire home/apt,,Beacon Hill,4,5.0,3,1.0,275.0,2.0,42.35914,-71.071097,2016-10-18 22:50:02.374818
8983081,26704689,Entire home/apt,,Brighton,2,,10,3.0,500.0,3.0,42.346122,-71.15188,2016-10-18 22:49:47.968854
12176027,46984941,Private room,,Allston,2,,2,1.0,45.0,7.0,42.359916,-71.124831,2016-10-18 22:49:17.702919
15327990,38092410,Private room,,Charlestown,0,,1,1.0,42.0,15.0,42.38295,-71.077758,2016-10-18 22:49:02.025538
7553969,23531248,Entire home/apt,,Beacon Hill,6,5.0,2,0.0,140.0,2.0,42.359465,-71.071065,2016-10-18 22:48:58.500403
5660081,962698,Private room,,Mission Hill,2,,2,1.0,30.0,1.0,42.327775,-71.09883,2016-10-18 22:48:36.691464
15433453,68415437,Entire home/apt,,South Boston,0,,6,3.0,500.0,1.0,42.33143,-71.047839,2016-10-18 22:48:20.523505
4315428,22402141,Private room,,East Boston,1,,2,1.0,150.0,5.0,42.390666,-71.003863,2016-10-18 22:46:19.375587
13912429,18117392,Private room,,Downtown,3,5.0,4,1.0,300.0,1.0,42.357887,-71.053959,2016-10-18 22:45:53.927037
8631257,14299534,Private room,,South End,0,,1,1.0,50.0,1.0,42.346188,-71.073149,2016-10-18 22:45:19.251839
15022444,32532791,Entire home/apt,,South End,0,,4,1.0,165.0,,42.342662,-71.074586,2016-10-18 22:45:09.436030
9208166,47889779,Entire home/apt,,South End,51,5.0,6,2.0,350.0,,42.34435,-71.06362,2016-10-18 22:45:01.872504
14868157,30490577,Private room,,Jamaica Plain,17,5.0,1,1.0,75.0,1.0,42.316052,-71.099321,2016-10-18 22:44:42.815774
13577929,78345234,Private room,,Brighton,0,,1,1.0,200.0,1.0,42.345192,-71.140531,2016-10-18 22:44:04.181688
10234895,52601623,Private room,,Dorchester,4,4.5,2,1.0,55.0,1.0,42.283185,-71.06763,2016-10-18 22:43:12.504664
14481328,22541573,Entire home/apt,,Fenway,0,,2,1.0,169.0,10.0,42.345109,-71.096672,2016-10-18 22:42:54.621575
14918869,93363670,Shared room,,South End,8,4.5,2,1.0,65.0,1.0,42.33597,-71.07508,2016-10-18 22:41:59.014815
15525301,28820575,Private room,,East Boston,0,,2,1.0,99.0,1.0,42.37098,-71.036599,2016-10-18 22:41:45.615912
697078,26988,Entire home/apt,,Beacon Hill,9,4.5,3,1.0,175.0,5.0,42.358931,-71.063311,2016-10-18 22:41:09.651368
6845352,2042090,Entire home/apt,,Dorchester,16,5.0,4,2.0,180.0,3.0,42.284361,-71.058467,2016-10-18 22:41:06.185113
13333623,17842524,Entire home/apt,,South Boston,0,,3,1.0,150.0,2.0,42.332309,-71.043356,2016-10-18 22:40:46.301556
12269155,66084480,Entire home/apt,,North End,71,5.0,2,1.0,200.0,1.0,42.365201,-71.058235,2016-10-18 22:39:23.725019
15058488,94783015,Entire home/apt,,Chinatown,0,,4,1.0,287.0,2.0,42.348743,-71.060868,2016-10-18 22:39:13.038630
13912472,82529160,Entire home/apt,,South End,16,5.0,4,1.0,254.0,2.0,42.347092,-71.074306,2016-10-18 22:39:03.712041
9957078,51166219,Entire home/apt,,Brighton,21,5.0,3,2.0,130.0,2.0,42.344693,-71.148792,2016-10-18 22:38:46.699971
11035223,4343802,Entire home/apt,,Fenway,3,4.5,2,0.0,103.0,1.0,42.346858,-71.095093,2016-10-18 22:38:42.559328
8442940,3022224,Entire home/apt,,Charlestown,66,5.0,3,1.0,149.0,,42.378678,-71.063383,2016-10-18 22:38:22.235713
9331460,3925363,Private room,,North End,2,,2,1.0,103.0,2.0,42.361532,-71.05373,2016-10-18 22:37:58.623005
14452500,3387042,Entire home/apt,,North End,5,5.0,3,1.0,110.0,2.0,42.366905,-71.05365,2016-10-18 22:37:54.404340
10136854,30283594,Entire home/apt,,Chinatown,0,,3,1.0,349.0,3.0,42.350642,-71.06291,2016-10-18 22:37:30.684228
9508099,1444340,Private room,,South Boston,2,,2,1.0,144.0,2.0,42.341527,-71.057152,2016-10-18 22:37:19.594052
11498583,25938928,Entire home/apt,,East Boston,49,4.0,2,1.0,50.0,2.0,42.366149,-71.03944,2016-10-18 22:36:31.910823
14107067,32541800,Entire home/apt,,South Boston,13,5.0,6,2.0,250.0,1.0,42.335501,-71.032014,2016-10-18 22:36:22.468346
3664031,2006852,Entire home/apt,,North End,42,4.5,4,2.0,180.0,4.0,42.363814,-71.051596,2016-10-18 22:36:08.159162
15476718,99345769,Private room,,Brighton,0,,1,1.0,85.0,1.0,42.36182,-71.140113,2016-10-18 22:35:45.775010
13813380,71551723,Private room,,Chinatown,4,5.0,2,1.0,400.0,2.0,42.352315,-71.061539,2016-10-18 22:35:02.879772
12211821,5618949,Entire home/apt,,Downtown,10,4.0,3,0.0,158.0,,42.350564,-71.065654,2016-10-18 22:34:19.423524
12308161,66371429,Private room,,South End,39,5.0,2,1.0,119.0,,42.339755,-71.079004,2016-10-18 22:34:12.286949
13151270,73369316,Private room,,Dorchester,0,,2,1.0,150.0,1.0,42.290683,-71.061916,2016-10-18 22:33:32.633966
10152056,30283594,Entire home/apt,,West End,0,,3,1.0,169.0,10.0,42.364808,-71.06893,2016-10-18 22:33:30.150531
12997241,12164071,Entire home/apt,,Jamaica Plain,1,,3,2.0,110.0,3.0,42.313212,-71.108087,2016-10-18 22:32:53.962231
14300921,605252,Shared room,,Roxbury,20,4.5,2,1.0,47.0,1.0,42.325997,-71.078774,2016-10-18 22:32:28.195708
15404682,98603431,Entire home/apt,,Fenway,0,,4,1.0,250.0,1.0,42.341983,-71.100796,2016-10-18 22:32:25.234480
1497879,2776892,Entire home/apt,,East Boston,338,4.5,3,1.0,89.0,1.0,42.366885,-71.036151,2016-10-18 22:32:14.624286
7874552,690922,Private room,,Beacon Hill,35,4.5,2,1.0,130.0,2.0,42.358229,-71.069857,2016-10-18 22:31:49.055187
1956275,9622924,Entire home/apt,,Jamaica Plain,78,4.5,6,3.0,168.0,2.0,42.308293,-71.123991,2016-10-18 22:31:31.654247
15282690,95459395,Entire home/apt,,Chinatown,0,,3,1.0,571.0,5.0,42.349217,-71.059536,2016-10-18 22:30:19.243741
11036835,27862749,Private room,,Allston,1,,1,1.0,90.0,1.0,42.360608,-71.13188,2016-10-18 22:23:06.278108
5453775,4678912,Private room,,Mission Hill,14,4.0,5,1.0,99.0,4.0,42.332289,-71.111459,2016-10-18 22:21:55.800420
1821633,7799789,Private room,,Dorchester,131,5.0,2,1.0,100.0,1.0,42.309577,-71.047923,2016-10-18 22:21:48.569204
4587068,23777641,Entire home/apt,,Leather District,1,,4,1.0,190.0,5.0,42.34987,-71.057115,2016-10-18 22:21:26.094074
15375512,97258063,Private room,,North End,0,,4,1.0,91.0,1.0,42.365359,-71.053978,2016-10-18 22:21:05.078719
6709682,212445,Private room,,Roxbury,26,4.5,2,1.0,65.0,3.0,42.33721,-71.084783,2016-10-18 22:20:52.964798
8402408,44162105,Private room,,Roxbury,71,5.0,2,1.0,95.0,1.0,42.336908,-71.077477,2016-10-18 22:20:42.556861
9111413,11272292,Entire home/apt,,Downtown,44,4.5,3,1.0,240.0,1.0,42.355194,-71.061533,2016-10-18 22:20:37.572785
13188046,21094197,Entire home/apt,,South Boston,12,5.0,3,1.0,189.0,2.0,42.332247,-71.038656,2016-10-18 22:20:14.870441
10106081,40885583,Entire home/apt,,North End,31,5.0,2,1.0,180.0,2.0,42.366465,-71.053757,2016-10-18 22:20:07.504270
839265,1997048,Private room,,Dorchester,19,4.5,1,1.0,56.0,3.0,42.298224,-71.076214,2016-10-18 22:19:52.087235
14538087,2006852,Entire home/apt,,North End,5,5.0,4,2.0,315.0,,42.366102,-71.051921,2016-10-18 22:19:44.334117
13658697,53178913,Private room,,Mission Hill,0,,2,1.0,80.0,1.0,42.333542,-71.100217,2016-10-18 22:19:30.707399
12446656,12790789,Shared room,,Fenway,10,4.5,2,1.0,80.0,1.0,42.344627,-71.094908,2016-10-18 22:18:54.668142
5163162,26704689,Entire home/apt,,South Boston,78,5.0,8,2.0,200.0,1.0,42.333021,-71.052203,2016-10-18 22:18:18.538614
15187617,95459395,Entire home/apt,,Chinatown,0,,3,1.0,571.0,3.0,42.35103,-71.061705,2016-10-18 22:18:09.741035
12233043,25938928,Entire home/apt,,East Boston,48,4.5,2,1.0,60.0,2.0,42.368362,-71.039183,2016-10-18 22:17:45.349142
14936298,93938503,Private room,,Back Bay,7,4.5,2,1.0,150.0,1.0,42.34938,-71.079264,2016-10-18 22:16:56.487964
1252289,1462158,Private room,,South End,83,5.0,2,1.0,99.0,3.0,42.335336,-71.074257,2016-10-18 22:15:29.564012
13275334,74813314,Private room,,Hyde Park,14,5.0,2,1.0,75.0,1.0,42.269987,-71.116494,2016-10-18 22:15:03.676285
6015021,30283594,Entire home/apt,,Fenway,2,,3,1.0,169.0,2.0,42.344922,-71.100095,2016-10-18 22:14:37.277225
1731639,2355815,Entire home/apt,,Bay Village,11,4.5,5,2.0,500.0,3.0,42.349586,-71.067575,2016-10-18 22:14:26.864753
2842124,12312638,Entire home/apt,,North End,34,4.0,3,1.0,150.0,,42.363782,-71.055643,2016-10-18 22:14:23.667954
