room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14682588,71393113,Entire home/apt,,Fenway,1,,3,1.0,225.0,4.0,42.346718,-71.087855,2016-09-16 13:30:37.520949
10034592,20399668,Private room,,Dorchester,14,5.0,2,1.0,55.0,1.0,42.317168,-71.040483,2016-09-16 13:30:34.150893
9362821,48584100,Private room,,Roxbury,57,4.5,2,1.0,83.0,1.0,42.337771,-71.080901,2016-09-16 13:30:30.394463
4879579,4776690,Entire home/apt,,Dorchester,8,5.0,9,3.0,264.0,1.0,42.317923,-71.054966,2016-09-16 13:30:21.167154
7310887,38302832,Entire home/apt,,Brighton,73,5.0,5,3.0,285.0,3.0,42.345539,-71.13819,2016-09-16 13:30:17.239246
13942919,54731245,Entire home/apt,,South Boston Waterfront,6,5.0,3,0.0,199.0,6.0,42.347688,-71.037366,2016-09-16 13:30:07.651111
11905849,18202088,Entire home/apt,,Back Bay,3,5.0,2,1.0,207.0,2.0,42.346132,-71.079426,2016-09-16 13:30:01.588311
3021862,15399126,Private room,,Jamaica Plain,12,4.5,2,1.0,90.0,2.0,42.290989,-71.112737,2016-09-16 13:29:50.386268
12233285,25938928,Entire home/apt,,East Boston,31,4.5,2,1.0,60.0,,42.366928,-71.040173,2016-09-16 13:29:48.839176
7678756,25716111,Entire home/apt,,East Boston,1,,2,1.0,95.0,4.0,42.3799,-71.029603,2016-09-16 13:29:20.650576
14552102,84942880,Entire home/apt,,Back Bay,0,,5,2.0,279.0,2.0,42.34927,-71.090503,2016-09-16 13:28:47.264954
6629929,63525,Private room,,Mission Hill,23,4.5,2,1.0,105.0,,42.330647,-71.105843,2016-09-16 13:28:45.736287
1242798,1934182,Entire home/apt,,Fenway,0,,2,1.0,135.0,2.0,42.344965,-71.099225,2016-09-16 13:28:44.692951
13912429,18117392,Private room,,Downtown,3,5.0,4,1.0,300.0,1.0,42.357887,-71.053959,2016-09-16 13:28:41.935706
14723758,9619490,Entire home/apt,,Back Bay,0,,3,0.0,166.0,3.0,42.35256,-71.084334,2016-09-16 13:28:11.636012
14588643,33240850,Entire home/apt,,South Boston,1,,6,3.0,222.0,1.0,42.332243,-71.040321,2016-09-16 13:28:04.797780
7133949,845174,Entire home/apt,,South Boston Waterfront,6,4.5,4,2.0,355.0,1.0,42.348234,-71.04922,2016-09-16 13:27:57.752229
12812461,38818333,Entire home/apt,,South End,4,5.0,2,1.0,225.0,2.0,42.336595,-71.076031,2016-09-16 13:27:49.277775
7134081,845174,Entire home/apt,,South Boston Waterfront,12,5.0,4,2.0,390.0,2.0,42.350935,-71.048368,2016-09-16 13:27:41.541043
3250847,886871,Private room,,Dorchester,4,4.0,1,1.0,70.0,2.0,42.317255,-71.053855,2016-09-16 13:27:39.442321
13107648,46702413,Private room,,North End,20,5.0,4,1.0,120.0,3.0,42.36666,-71.052094,2016-09-16 13:27:36.003644
3897995,8139434,Private room,,Allston,81,5.0,2,1.0,74.0,1.0,42.350543,-71.143844,2016-09-16 13:27:20.074401
12183851,65474357,Private room,,Fenway,20,4.0,1,1.0,70.0,1.0,42.345259,-71.088276,2016-09-16 13:27:06.092929
1106555,1651480,Shared room,,South End,26,4.5,1,1.0,500.0,1.0,42.341162,-71.076976,2016-09-16 13:26:46.143917
14168664,14685544,Entire home/apt,,East Boston,8,5.0,5,1.0,115.0,1.0,42.379419,-71.021529,2016-09-16 13:26:42.117132
10234895,52601623,Private room,,Dorchester,3,4.0,2,1.0,55.0,1.0,42.283185,-71.06763,2016-09-16 13:26:38.483212
8238311,28820575,Private room,,Roxbury,83,4.5,2,1.0,99.0,1.0,42.329552,-71.093241,2016-09-16 13:26:35.158120
6823017,19548932,Private room,,Allston,38,4.5,2,1.0,70.0,1.0,42.359026,-71.130658,2016-09-16 13:26:16.159265
3888360,20113039,Entire home/apt,,Roxbury,25,4.5,10,3.0,299.0,2.0,42.325553,-71.087057,2016-09-16 13:26:12.024218
6742905,324630,Entire home/apt,,Beacon Hill,125,3.5,2,0.0,99.0,,42.361087,-71.06532,2016-09-16 13:25:53.382552
7920759,41766550,Entire home/apt,,Beacon Hill,3,5.0,4,2.0,300.0,2.0,42.358346,-71.066928,2016-09-16 13:25:49.844669
1815326,9508341,Private room,,Brighton,126,4.5,2,1.0,99.0,1.0,42.355088,-71.16242,2016-09-16 13:25:45.202394
3897963,8139434,Private room,,Allston,83,5.0,2,1.0,75.0,1.0,42.349964,-71.14371,2016-09-16 13:25:31.892709
7495866,38015635,Entire home/apt,,Jamaica Plain,26,4.5,2,1.0,136.0,4.0,42.315769,-71.112894,2016-09-16 13:25:24.607620
9755993,50314416,Entire home/apt,,Beacon Hill,6,5.0,2,0.0,130.0,4.0,42.359369,-71.071162,2016-09-16 13:25:23.103719
13820571,81414368,Private room,,East Boston,34,5.0,1,1.0,65.0,1.0,42.366998,-71.035943,2016-09-16 13:25:07.123382
12683680,68927890,Entire home/apt,,North End,7,5.0,4,2.0,200.0,1.0,42.364955,-71.057193,2016-09-16 13:25:03.516742
210097,1035747,Entire home/apt,,Jamaica Plain,115,5.0,2,1.0,100.0,3.0,42.318635,-71.106406,2016-09-16 13:24:36.447078
13391640,6032648,Entire home/apt,,Back Bay,12,4.5,2,0.0,200.0,2.0,42.355024,-71.075234,2016-09-16 13:24:19.581274
13005579,71536024,Entire home/apt,,North End,23,4.5,4,2.0,310.0,1.0,42.36524,-71.052134,2016-09-16 13:24:08.473721
13861258,50782486,Shared room,,Dorchester,1,,1,1.0,51.0,1.0,42.284525,-71.05654,2016-09-16 13:24:04.849991
13829133,45771009,Private room,,Jamaica Plain,0,,4,1.0,125.0,2.0,42.317216,-71.107966,2016-09-16 13:24:04.016178
13510994,28749942,Entire home/apt,,South Boston Waterfront,6,5.0,2,1.0,295.0,2.0,42.350908,-71.046601,2016-09-16 13:23:45.702436
7194793,9969381,Private room,,Back Bay,35,5.0,2,1.0,140.0,2.0,42.349403,-71.086808,2016-09-16 13:23:41.762943
8326439,40995423,Private room,,East Boston,4,3.5,1,1.0,48.0,5.0,42.388509,-71.003631,2016-09-16 13:23:39.189706
10268223,52796234,Private room,,Dorchester,2,,2,1.0,60.0,1.0,42.317922,-71.053455,2016-09-16 13:23:38.330556
13028247,15517760,Entire home/apt,,Allston,1,,2,1.0,70.0,2.0,42.365652,-71.119892,2016-09-16 13:23:29.921740
7280665,24775678,Shared room,,Mission Hill,2,,1,1.0,40.0,1.0,42.334242,-71.097988,2016-09-16 13:23:26.749209
